,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m
HETA3,ON,HERCULES S/A ON,Utilidades Domésticas,Utensílios Domésticos,96.00,2022-08-12,96.00,96.00,0,48960000,373542000,2022-09-30,510000,-4087,-009,1705,1577,395,-056,-009,0.0%,13006,13006,20.8%,-235,-109529,100.0%,92.5%,-38.6%,23.2%,23.2%,0.2%,003,-058,025,12380000,,,-558599000,,,-1198000,,,-1550000,0,2244000,324582000,324582000,3105000,2872000,862000,811000
HETA4,PN,HERCULES S/A PN,Utilidades Domésticas,Utensílios Domésticos,4.10,2023-02-10,3.81,8.58,556,2091000,326673000,2022-09-30,510000,-175,-000,073,067,017,-002,-000,0.0%,11374,11374,20.8%,-235,-109529,100.0%,92.5%,-38.6%,23.2%,23.2%,0.2%,003,-058,025,12380000,,,-558599000,,,-1198000,,,-1550000,0,2244000,324582000,324582000,3105000,2872000,862000,811000
HGTX3,ON N1,CIA HERING ON N1,"Tecidos, Vestuário e Calçados",Vestuário,37.50,2021-09-17,35.13,40.57,0,6095030000,6146650000,2021-09-30,162534000,10199,357,10587,418,248,750,993,0.0%,4250,10677,-4.6%,037,1049,40.6%,3.9%,4.1%,2.3%,3.0%,3.5%,247,012,059,2457830000,,,1704940000,,,59761000,,,-22643000,150384000,1366760000,202010000,51626000,1458710000,57571000,395654000,-25508000
HOOT4,PN,HOTEIS OTHON S.A. PN,Hoteis e Restaurantes,Hotelaria,1.19,2023-02-10,1.10,2.81,5537,21862700,15265700,2022-09-30,18372000,018,-007,-014,025,004,-006,-003,0.0%,-010,-010,-10.5%,645,-1825,65.9%,-176.6%,133.0%,-31.0%,-32.5%,-35.3%,010,-000,018,507131000,,,-335350000,,,118458000,,,16799000,7571000,40669000,974000,-6597000,89041000,-157233000,24897000,2928000
HYPE3,ON,HYPERA ON,Comércio e Distribuição,Medicamentos e Outros Produtos,45.50,2023-02-10,30.04,50.52,153548000,28820700000,35451900000,2022-09-30,633421000,1778,275,1233,409,128,870,-627,2.7%,1422,1516,19.6%,256,1657,63.2%,33.2%,23.0%,10.4%,11.8%,15.5%,180,084,031,22548800000,,,10492700000,,,1621220000,,,465367000,2218910000,7452100000,8850120000,6631220000,7051450000,2337850000,2035770000,677382000
IFCM3,ON NM,INFRACOMM ON NM,Programas e Serviços,Programas e Serviços,2.34,2023-02-10,2.34,14.31,2446850,855340000,1179830000,2022-09-30,365530000,-392,056,-1150,108,026,560,-129,0.0%,3129,-1587,-,-060,415,43.2%,-9.4%,-27.4%,-2.2%,-3.0%,-14.4%,115,039,024,3332610000,,,1515790000,,,-217927000,,,-72868000,262082000,1156200000,586572000,324490000,794971000,-74350000,214573000,-17940000
IGBR3,ON,GRADIENTE ON,Exploração de Imóveis,Exploração de Imóveis,54.99,2023-02-10,26.00,56.20,213630,68737500,419786000,2022-06-30,1250000,-172,-006,-178,1025,059,-015,-006,0.0%,-1168,-1089,11.5%,-3206,-85286,100.0%,-575.2%,-597.9%,-32.8%,-34.4%,3.8%,002,-033,006,117425000,,,-1066080000,,,-40079000,,,-13690000,1005000,7800000,352053000,351048000,6703000,-38554000,2059000,-2297000
IGTA3,ON NM,IGUATEMI ON NM,Exploração de Imóveis,Exploração de Imóveis,33.13,2021-11-19,0.00,0.00,0,5780750000,7452380000,2022-09-30,174487000,22387,178,1167,559,087,740,-372,0.0%,1140,1504,7.7%,015,1859,60.2%,47.9%,3.0%,7.5%,9.6%,0.8%,177,096,016,6609960000,,,3244470000,,,25822000,,,63024000,1439130000,1800020000,3110760000,1671630000,1034790000,495378000,246509000,111839000
IGTI3,ON N1,IGUATEMI S.A ON N1,Exploração de Imóveis,Exploração de Imóveis,2.38,2023-02-10,2.20,3.05,323111,5007750000,6189430000,2022-09-30,2104090000,31389,125,1043,481,066,390,-454,1.1%,969,1290,7.8%,001,190,60.3%,46.1%,-0.2%,6.4%,8.8%,0.4%,211,081,014,7556040000,,,4002910000,,,15954000,,,64813000,2059040000,2437070000,3240720000,1181690000,1040160000,479931000,251276000,113350000
INEP3,ON,INEPAR S/A ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,1.21,2023-02-10,0.52,1.88,2149110,221495000,1017200000,2022-09-30,183054000,020,-015,015,919,017,-023,-008,0.0%,070,070,-20.8%,596,-789,33.3%,6000.2%,4592.5%,109.0%,114.5%,-75.6%,011,-055,002,1326480000,,,-1444050000,,,1091480000,,,-62491000,1245000,113782000,796950000,795705000,24094000,1445680000,2073000,-7869000
INEP4,PN,INEPAR S/A PN,Máquinas e Equipamentos,Máq. e Equip. Industriais,1.01,2023-02-10,0.52,1.72,947501,184884000,980589000,2022-09-30,183054000,017,-013,013,767,014,-019,-007,0.0%,067,068,-20.8%,596,-789,33.3%,6000.2%,4592.5%,109.0%,114.5%,-75.6%,011,-055,002,1326480000,,,-1444050000,,,1091480000,,,-62491000,1245000,113782000,796950000,795705000,24094000,1445680000,2073000,-7869000
INTB3,ON NM,INTELBRAS ON NM,Computadores e Equipamentos,Computadores e Equipamentos,29.18,2023-02-10,23.32,36.32,30900900,9559690000,9314880000,2022-09-30,327611000,2278,448,2105,244,219,594,1048,1.3%,1814,2051,37.5%,128,652,28.4%,11.6%,10.7%,10.4%,17.5%,19.7%,206,031,090,4369060000,,,2134790000,,,419693000,,,123041000,908021000,3129390000,663210000,-244811000,3921580000,454250000,1132760000,139060000
IRBR3,ON NM,IRBBRASIL RE ON NM,Previdência e Seguros,Seguradoras,22.02,2023-02-10,19.80,108.30,69555400,1811430000,-,2022-09-30,82263000,-188,044,-077,025,008,-,-,0.0%,-,-,0.1%,-1170,4992,0.1%,-32.9%,-13.4%,-10.2%,-,-23.4%,-,-,031,23044800000,,,4106820000,,,-962442000,,,-298750000,0,0,0,0,7165880000,-2360600000,1746110000,-642617000
ITSA3,ON N1,ITAÚSA ON N1,Intermediários Financeiros,Bancos,8.67,2023-02-10,7.53,9.69,1709630,84111200000,91498200000,2022-09-30,9701410000,581,119,6490,961,088,2643,-820,5.0%,4351,7060,15.4%,149,730,34.9%,14.8%,173.3%,1.4%,1.5%,20.4%,140,020,009,95943000000,,,70827000000,,,14468000000,,,3555000000,6576000000,11187000000,13963000000,7387000000,8757000000,1296000000,2161000000,332000000
ITSA4,PN N1,ITAÚSA PN N1,Intermediários Financeiros,Bancos,8.53,2023-02-10,7.12,9.63,190644000,82753000000,90140000000,2022-09-30,9701410000,572,117,6385,945,086,2601,-807,5.1%,4286,6955,15.4%,149,730,34.9%,14.8%,173.3%,1.4%,1.5%,20.4%,140,020,009,95943000000,,,70827000000,,,14468000000,,,3555000000,6576000000,11187000000,13963000000,7387000000,8757000000,1296000000,2161000000,332000000
ITUB3,ON N1,ITAUUNIBANCO ON N1,Intermediários Financeiros,Bancos,21.96,2023-02-10,18.56,25.27,17331300,215299000000,-,2022-12-31,9804140000,725,133,-,-,-,-,-,4.6%,-,-,-37.0%,303,1653,-,-,0.0%,0.0%,-,18.3%,-,-,-,381156000000,131978000000,76202000000,162100000000,-17000000,1004000000,29695000000,471000000,1004000000,7097000000,,,,,,,,
ITUB4,PN N1,ITAUUNIBANCO PN N1,Intermediários Financeiros,Bancos,25.80,2023-02-10,21.51,30.49,958402000,252947000000,-,2022-12-31,9804140000,852,156,-,-,-,-,-,3.9%,-,-,-37.0%,303,1653,-,-,0.0%,0.0%,-,18.3%,-,-,-,381156000000,131978000000,76202000000,162100000000,-17000000,1004000000,29695000000,471000000,1004000000,7097000000,,,,,,,,
JALL3,ON NM,JALLESMACHAD ON NM,Alimentos Processados,Açucar e Alcool,7.54,2023-02-10,6.69,11.07,4205370,2222020000,3399910000,2022-09-30,294697000,383,133,456,133,042,114,-236,2.4%,352,698,28.3%,197,569,43.1%,29.3%,34.8%,9.2%,13.9%,34.6%,369,171,031,5303480000,,,1676450000,,,580002000,,,177509000,1684270000,2683880000,2862160000,1177900000,1665270000,487091000,485906000,113593000
JBDU3,ON,B TECH EQI ON,Outros,Outros,0.00,,0.00,0.00,0,0,-,2021-12-31,5103000,000,000,-,-,-,-,-,0.0%,-,-,-,000,000,-,-,-,0.0%,-,-,-,-,-,189948000,,,56569000,,,0,,,0,0,66000,6748000,6748000,0,-611000,0,1032000
JBSS3,ON NM,JBS ON NM,Alimentos Processados,Carnes e Derivados,18.84,2023-02-10,18.60,36.48,180218000,41789300000,119456000000,2022-09-30,2218120000,213,094,134,011,020,158,-056,10.7%,292,384,22.7%,883,1996,18.0%,8.2%,5.4%,15.1%,19.7%,44.2%,146,214,184,206312000000,,,44282100000,,,19581200000,,,4013610000,17260700000,83546300000,94927700000,77667000000,379178000000,31110500000,98928200000,6750810000
JFEN3,ON,JOÃO FORTES ENGENHARIA S.A. ON,Construção Civil,Incorporações,0.59,2023-02-10,0.54,1.39,56065,62070400,643829000,2022-09-30,105204000,-040,-010,-068,364,005,-038,-007,0.0%,-719,-704,-20.5%,-149,-608,-289.4%,-536.9%,-934.2%,-7.9%,-8.5%,24.4%,086,-093,001,1153160000,,,-639921000,,,-156254000,,,-25742000,15247000,978917000,597006000,581759000,17038000,-91485000,6132000,-3229000
JHSF3,ON NM,JHSF Part ON NM,Construção Civil,Incorporações,4.80,2023-02-10,4.51,7.73,12955500,3260780000,5146650000,2022-09-30,679329000,404,066,352,165,033,152,-188,5.4%,523,555,52.6%,119,732,63.0%,46.8%,40.5%,9.5%,10.4%,16.2%,351,055,020,9805350000,,,4970930000,,,806809000,,,147164000,867800000,3003990000,2753680000,1885880000,1979960000,927462000,520746000,224616000
JOPA3,ON,JOSAPAR S/A ON,Alimentos Processados,Alimentos Diversos,21.60,2023-02-06,21.17,27.90,5999,228571000,862820000,2022-09-30,10582000,711,040,192,011,009,025,185,3.8%,638,727,20.0%,304,5397,21.5%,5.5%,1.8%,4.7%,7.3%,5.6%,193,235,087,2502670000,,,571085000,,,32149000,,,7930000,705171000,1869350000,1339420000,634249000,2175820000,118759000,684992000,41940000
JOPA4,PN,JOSAPAR S/A PN,Alimentos Processados,Alimentos Diversos,37.40,2022-12-26,35.09,37.50,85,395767000,1030020000,2022-09-30,10582000,1231,069,333,018,016,044,320,2.4%,762,867,20.0%,304,5397,21.5%,5.5%,1.8%,4.7%,7.3%,5.6%,193,235,087,2502670000,,,571085000,,,32149000,,,7930000,705171000,1869350000,1339420000,634249000,2175820000,118759000,684992000,41940000
JPSA3,ON,IGUATEMI S.A ON,Exploração de Imóveis,Exploração de Imóveis,29.02,2021-11-19,21.43,36.68,7666510,3395950000,5334030000,2021-09-30,117021000,2027,193,1296,467,047,234,-168,0.3%,1283,2035,1.0%,143,1506,52.8%,36.0%,46.3%,3.6%,4.6%,9.5%,531,194,010,7251830000,,,1762140000,,,167568000,,,-62917000,1479620000,1785670000,3417690000,1938080000,727631000,262091000,209921000,82763000
JSLG3,ON NM,JULIO SIMOES ON NM,Transporte,Transporte Rodoviário,6.51,2023-02-10,4.34,7.83,3160050,1864670000,5461940000,2022-09-30,286431000,1207,134,312,033,025,175,-049,6.9%,618,914,-29.6%,054,485,16.5%,10.5%,2.7%,8.0%,9.2%,11.1%,187,307,076,7447310000,,,1388340000,,,154521000,,,37388000,670661000,2291840000,4267930000,3597270000,5687720000,597860000,1624820000,218714000
KEPL3,ON,KEPLER WEBER SA ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,23.50,2023-02-10,12.95,25.08,12802200,2111710000,1960550000,2022-09-30,89860000,597,334,456,122,161,595,807,8.5%,398,424,32.8%,394,703,35.9%,26.7%,20.5%,35.2%,50.8%,56.1%,160,023,132,1314360000,,,631379000,,,353927000,,,115648000,298654000,944675000,147495000,-151159000,1730300000,462656000,515754000,141925000
KLBN3,ON N2,KLABIN ON N2,Madeira e Papel,Papel e Celulose,3.94,2023-02-10,3.54,5.98,2721720,22134500000,43172800000,2022-12-31,5617890000,472,232,337,110,047,366,-094,7.7%,444,658,20.4%,084,170,47.5%,32.8%,24.6%,13.8%,17.2%,49.1%,194,288,042,47577400000,,,9559480000,,,4691730000,,,815949000,6502310000,12504000000,27540600000,21038300000,20032700000,6562410000,5083390000,1080860000
KLBN4,PN N2,KLABIN PN N2,Madeira e Papel,Papel e Celulose,3.93,2023-02-10,3.49,4.83,13931300,22078300000,43116600000,2022-12-31,5617890000,471,231,336,110,046,365,-094,7.7%,443,657,20.4%,084,170,47.5%,32.8%,24.6%,13.8%,17.2%,49.1%,194,288,042,47577400000,,,9559480000,,,4691730000,,,815949000,6502310000,12504000000,27540600000,21038300000,20032700000,6562410000,5083390000,1080860000
KRSA3,ON NM,KORA SAUDE ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,1.16,2023-02-10,0.78,3.92,640554,895788000,2935750000,2022-09-30,772231000,-731,075,435,047,019,193,-043,0.0%,937,1427,-,-016,154,24.5%,10.7%,-5.7%,4.3%,4.8%,-10.3%,146,208,040,4838540000,,,1192960000,,,-122464000,,,-55435000,437245000,1468380000,2477210000,2039960000,1922800000,205700000,511222000,46891000
LAME3,ON,LOJAS AMERICANAS S.A. ON,Comércio,Produtos Diversos,6.62,2022-01-21,4.37,7.07,0,12465500000,19075600000,2021-09-30,1883010000,2122,191,740,048,029,120,-437,0.0%,549,1132,9.7%,031,346,32.9%,6.5%,2.5%,3.9%,6.5%,9.0%,172,254,059,43736200000,,,6514640000,,,587572000,,,95397000,9911190000,24815300000,16521300000,6610070000,25896600000,1684810000,6277260000,311215000
LAME4,PN,LOJAS AMERICANAS S.A. PN,Comércio,Produtos Diversos,6.55,2022-01-21,4.64,7.47,0,12333700000,18943800000,2021-09-30,1883010000,2099,189,732,048,028,119,-432,0.0%,546,1124,9.7%,031,346,32.9%,6.5%,2.5%,3.9%,6.5%,9.0%,172,254,059,43736200000,,,6514640000,,,587572000,,,95397000,9911190000,24815300000,16521300000,6610070000,25896600000,1684810000,6277260000,311215000
LAND3,ON NM,TERRASANTAPA ON NM,Agropecuária,Agricultura,0.00,,0.00,0.00,0,0,-,2022-09-30,0,000,000,-,-,-,-,-,0.0%,-,-,-,000,000,-,-,-,0.0%,-,-,-,-,-,966869000,,,703309000,,,0,,,0,12348000,45525000,18234000,5886000,118127000,85443000,23916000,18533000
LAVV3,ON NM,LAVVI ON NM,Construção Civil,Incorporações,5.19,2023-02-10,4.08,6.62,2961420,1035580000,556473000,2022-09-30,199534000,969,091,1194,200,058,096,112,11.9%,635,642,-23.8%,054,573,34.5%,16.8%,24.4%,4.8%,6.7%,9.4%,365,000,029,1790260000,,,1143130000,,,106923000,,,27619000,482949000,1487520000,3841000,-479108000,517325000,86697000,128813000,24104000
LCAM3,ON NM,LOCAMERICA ON NM,Diversos,Aluguel de carros,24.15,2022-07-01,21.88,27.26,0,12285800000,21944000000,2022-06-30,508729000,1742,247,557,173,057,509,-138,5.1%,757,994,38.6%,139,976,43.2%,31.0%,9.9%,10.3%,13.5%,14.2%,148,238,033,21368300000,,,4965670000,,,705404000,,,-49904000,2136170000,7473930000,11794400000,9658200000,7118600000,2206880000,2077070000,602201000
LEVE3,ON,MAHLE METAL LEVE ON,Automóveis e Motocicletas,Automóveis e Motocicletas,35.33,2023-02-10,19.74,35.62,6316490,4533160000,4660840000,2022-09-30,128309000,791,275,660,112,144,471,978,12.7%,594,679,13.4%,447,1284,26.6%,17.0%,14.1%,21.9%,27.8%,34.8%,196,025,129,3141520000,,,1647100000,,,572931000,,,204306000,284413000,1963650000,412094000,127681000,4049760000,686893000,1198820000,252257000
LIGT3,ON,LIGHT SA ON,Energia Elétrica,Energia Elétrica,2.52,2023-02-10,2.52,10.66,24609300,938839000,9202850000,2022-09-30,372555000,-888,011,058,006,003,040,-008,10.1%,391,564,4.6%,-028,2297,18.7%,11.3%,-0.7%,5.8%,7.2%,-1.2%,141,144,052,27953600000,,,8557000000,,,-105667000,,,7880000,4023610000,8104500000,12287600000,8264010000,14485600000,1631240000,3464690000,343103000
LINX3,ON NM,LINX ON NM,Programas e Serviços,Programas e Serviços,37.40,2021-06-25,36.50,38.39,0,7083900000,6860690000,2021-03-31,189409000,-9095,438,5317,788,274,1196,4706,1.5%,2297,5149,15.5%,-041,855,68.7%,14.8%,-8.7%,5.2%,6.8%,-4.8%,214,022,035,2580930000,,,1619010000,,,-77890000,,,-6870000,585024000,1112450000,361814000,-223210000,898430000,133241000,230584000,43293000
LIPR3,ON,LIGHTPAR ON,Energia Elétrica,Energia Elétrica,70.00,2023-02-09,54.66,70.40,3179,823550000,759591000,2022-09-30,11765000,3074,383,-14092,-,323,2334,3385,2.6%,-12998,-12998,-,228,1828,-,-,0.0%,-2.3%,-3.1%,12.5%,223,-,-,254717000,,,215087000,,,26795000,,,4656000,63959000,63959000,0,-63959000,0,-5844000,0,-1266000
LJQQ3,ON NM,QUERO-QUERO ON NM,Comércio,Produtos Diversos,3.33,2023-02-10,3.18,10.97,18550200,623676000,543539000,2022-09-30,187290000,22227,120,612,028,022,070,-140,0.0%,269,533,14.6%,001,278,34.4%,4.5%,0.1%,3.6%,4.8%,0.5%,191,065,080,2831210000,,,520369000,,,2806000,,,-7640000,418777000,1866530000,338640000,-80137000,2260950000,101914000,601180000,14904000
LLIS3,ON,LE LIS BLANC DEUX ON,Comércio,"Tecidos, Vestuário e Calçados",1.73,2023-02-08,1.37,2.09,687058,196229000,2067000000,2022-09-30,113427000,-023,-028,-1722,018,013,-089,-011,0.0%,1343,-18141,-5.1%,-766,-615,58.1%,-1.1%,-77.2%,-0.7%,-0.8%,124.6%,070,-274,070,1544170000,,,-697151000,,,-868765000,,,-66708000,39194000,504172000,1909960000,1870770000,1075720000,-11394000,287279000,9240010
LOGG3,ON NM,LOG COM PROP ON NM,Exploração de Imóveis,Exploração de Imóveis,17.80,2023-02-10,14.51,30.20,7469150,1818430000,3294780000,2022-12-31,102159000,471,051,1114,837,030,1079,-099,4.9%,1999,2019,17.5%,378,3509,98.6%,75.1%,184.5%,2.7%,2.8%,10.8%,135,049,004,6150610000,,,3584650000,,,386072000,,,44257000,297733000,648297000,1774080000,1476350000,217230000,163200000,62949000,47569000
LOGN3,ON NM,Log-In ON NM,Transporte,Transporte Hidroviário,32.76,2023-02-10,24.19,41.31,4852140,3488180000,4337620000,2022-09-30,106477000,2505,597,1167,183,115,637,-259,0.0%,948,1451,17.1%,131,548,23.0%,15.7%,7.3%,9.8%,13.4%,23.8%,197,264,063,3045270000,,,583882000,,,139229000,,,35970000,693915000,1112660000,1543360000,849443000,1907480000,298907000,521908000,74192000
LPSB3,ON NM,LOPES BRASIL ON NM,Exploração de Imóveis,Intermediação Imobiliária,1.83,2023-02-10,1.49,4.60,554827,270025000,208392000,2022-09-30,147555000,2122,137,986,135,066,651,-283,4.1%,496,761,20.6%,009,133,80.5%,13.7%,14.8%,6.7%,8.1%,6.5%,158,-,049,406126000,,,196834000,,,12725000,,,426000,61633000,112597000,0,-61633000,200097000,27380000,52544000,12242000
LREN3,ON,RENNER ON,Comércio,"Tecidos, Vestuário e Calçados",19.28,2023-02-10,18.70,31.03,310186000,18860200000,17861600000,2022-09-30,978227000,1539,193,670,144,091,321,879,3.5%,466,634,10.9%,125,1001,59.7%,21.4%,9.3%,13.5%,18.8%,12.5%,180,035,063,20816600000,,,9790800000,,,1225670000,,,257862000,4406320000,13171300000,3407700000,-998612000,13132700000,2816520000,3017630000,522465000
LUPA3,ON NM,LUPATECH ON NM,"Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,5.00,2023-02-10,2.72,7.56,12852200,151765000,284893000,2022-09-30,30353000,-552,133,-1547,131,030,113,-099,0.0%,-6898,-2904,-3.4%,-091,375,24.2%,-8.5%,-23.8%,-1.9%,-2.1%,-24.2%,228,128,023,505207000,,,113746000,,,-27509000,,,-18085000,12606000,238538000,145734000,133128000,115669000,-9809000,29278000,-3957000
LUXM3,ON,TREVISA INVESTIMENTOS SA ON,Transporte,Transporte Hidroviário,10.00,2015-05-25,0.00,0.00,0,51960000,50424000,2022-09-30,5196000,615,048,251,038,034,-9973,-242,0.0%,139,243,2.2%,163,2075,27.3%,15.1%,6.2%,13.5%,15.1%,7.8%,098,010,089,153077000,,,107812000,,,8453000,,,3319000,12583000,23831000,11047000,-1536000,136844000,20710000,33392000,4476000
LUXM4,PN,TREVISA INVESTIMENTOS SA PN,Transporte,Transporte Hidroviário,83.07,2023-02-10,74.30,84.30,35849,431632000,430096000,2022-09-30,5196000,5106,400,2084,315,282,-82847,-2014,0.8%,1186,2077,2.2%,163,2075,27.3%,15.1%,6.2%,13.5%,15.1%,7.8%,098,010,089,153077000,,,107812000,,,8453000,,,3319000,12583000,23831000,11047000,-1536000,136844000,20710000,33392000,4476000
LVTC3,ON NM,WDC NETWORKS ON NM,Programas e Serviços,Programas e Serviços,7.20,2023-02-10,4.91,16.42,1783690,465574000,285888000,2022-09-30,64663100,1015,072,194,044,028,081,-882,2.4%,071,119,-,071,1002,24.8%,22.5%,4.3%,14.2%,16.9%,7.1%,237,-,063,1692610000,,,647900000,,,45853000,,,15208000,179686000,991930000,0,-179686000,1069540000,240191000,267904000,35278000
LWSA3,ON NM,LOCAWEB ON NM,Programas e Serviços,Programas e Serviços,5.44,2023-02-10,5.12,11.19,63176800,3231850000,1890690000,2022-09-30,594090000,77022,109,11433,299,070,292,744,0.0%,1470,6688,54.5%,001,498,45.1%,2.6%,0.4%,0.6%,0.9%,0.1%,212,003,023,4619370000,,,2959840000,,,4196000,,,-6378000,1420930000,2093990000,79773000,-1341160000,1081420000,28268000,304270000,14527000
MAPT3,ON,CIA MARCOPOLO ON,Outros,Outros,37.50,2022-09-05,37.50,37.50,0,34462500,34462500,2022-09-30,919000,-19361,-567,-24269,-,4458,-1723120,-503,0.0%,-24269,-24269,-,-019,-661,-,-,0.0%,-18.4%,-18.4%,2.9%,-,-,-,773000,,,-6073000,,,-178000,,,-28000,0,0,0,0,0,-142000,0,-14000
MAPT4,PN,CIA MARCOPOLO PN,Outros,Outros,10.21,2022-10-10,10.21,21.51,0,9382990,9382990,2022-09-30,919000,-5271,-155,-6608,-,1214,-469150,-137,0.0%,-6608,-6608,-,-019,-661,-,-,0.0%,-18.4%,-18.4%,2.9%,-,-,-,773000,,,-6073000,,,-178000,,,-28000,0,0,0,0,0,-142000,0,-14000
MATD3,ON NM,MATER DEI ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,9.48,2023-02-10,6.16,17.14,4355410,3624490000,4365110000,2022-09-30,382330000,3261,221,1151,235,075,471,-191,0.9%,1123,1386,-,029,429,36.6%,20.5%,8.4%,6.5%,7.5%,6.8%,275,075,032,4823280000,,,1639180000,,,111138000,,,33725000,481535000,1209000000,1222160000,740621000,1539240000,314907000,473884000,99036000
MBLY3,ON NM,MOBLY ON NM,Programas e Serviços,Programas e Serviços,3.25,2023-02-10,2.14,6.23,3140430,346092000,301799000,2022-09-30,106490000,-386,061,-364,053,039,098,172,0.0%,-1024,-318,-8.6%,-084,536,39.6%,-14.6%,-13.8%,-10.7%,-16.4%,-15.7%,313,031,073,887532000,,,570425000,,,-89630000,,,-19231000,219589000,518702000,175296000,-44293000,651692000,-95046000,159638000,-24946000
MDIA3,ON NM,M.DIASBRANCO ON NM,Alimentos Processados,Alimentos Diversos,33.99,2023-02-10,18.93,45.05,45039300,11522600000,13154300000,2022-09-30,339000000,1867,175,1534,121,103,470,6569,0.6%,1240,1751,12.7%,182,1945,29.0%,7.9%,6.5%,6.7%,7.8%,9.4%,206,031,085,11178300000,,,6592030000,,,617336000,,,195018000,439285000,4761680000,2070980000,1631690000,9528730000,751166000,2976600000,267877000
MDNE3,ON NM,MOURA DUBEUX ON NM,Construção Civil,Incorporações,5.34,2023-02-10,4.88,7.75,870266,453414000,332257000,2022-09-30,84909000,412,039,384,062,016,074,-074,0.0%,270,281,17.0%,130,1380,36.2%,16.1%,14.9%,4.2%,4.7%,9.4%,250,009,026,2805360000,,,1171410000,,,110046000,,,40946000,225958000,1024480000,104801000,-121157000,734936000,118050000,210672000,30197000
MEAL3,ON NM,IMC S/A ON NM,Hoteis e Restaurantes,Restaurante e Similares,2.09,2023-02-10,1.54,3.07,4130670,598513000,889691000,2022-09-30,286370000,-653,056,-1704,026,021,-417,-053,0.0%,1425,-2533,8.4%,-032,370,32.4%,-1.5%,-4.0%,-1.2%,-1.5%,-8.7%,081,052,082,2815920000,,,1059710000,,,-91675000,,,-4478000,259192000,625343000,550370000,291178000,2299250000,-35126000,645963000,-1640000
MELK3,ON NM,MELNICK ON NM,Construção Civil,Incorporações,2.97,2023-02-10,2.90,4.52,1222220,617669000,416861000,2022-09-30,207969000,556,052,548,059,028,069,090,7.2%,356,370,54.4%,053,576,23.6%,10.7%,13.5%,5.1%,6.2%,9.3%,231,011,048,2198120000,,,1198550000,,,111043000,,,22855000,337626000,1588230000,136818000,-200808000,1054970000,112709000,306411000,31405000
MERC3,ON,MERCANTIL BRASIL ON,Intermediários Financeiros,Soc. Crédito e Financiamento,15.11,2022-10-28,14.74,24.10,0,272131000,-,2022-09-30,18010000,3885,108,-,-,-,-,-,0.0%,-,-,-26.5%,039,1396,-,-,0.0%,0.0%,-,2.8%,-,-,-,312367000,0,0,251336000,40263000,6000,7005000,9328000,0,-4467000,,,,,,,,
MERC4,PN,MERCANTIL BRASIL PN,Intermediários Financeiros,Soc. Crédito e Financiamento,7.70,2023-02-10,7.10,10.70,1713,138677000,-,2022-09-30,18010000,1980,055,-,-,-,-,-,5.9%,-,-,-26.5%,039,1396,-,-,0.0%,0.0%,-,2.8%,-,-,-,312367000,0,0,251336000,40263000,6000,7005000,9328000,0,-4467000,,,,,,,,
MGEL3,ON,MANGELS ON,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,25.00,2011-03-11,0.00,0.00,0,144580000,810105000,2022-09-30,5783210,175,-076,121,014,022,057,-034,0.0%,584,679,22.3%,1427,-3270,15.2%,11.8%,8.1%,18.2%,22.4%,-43.6%,254,-399,155,653468000,,,-189125000,,,82549000,,,584000,89915000,421854000,755440000,665525000,1014700000,119227000,263472000,27898000
MGEL4,PN N1,MANGELS PN N1,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,11.99,2023-02-09,11.40,19.75,39935,69340700,734866000,2022-09-30,5783210,084,-037,058,007,011,027,-016,0.0%,530,616,22.3%,1427,-3270,15.2%,11.8%,8.1%,18.2%,22.4%,-43.6%,254,-399,155,653468000,,,-189125000,,,82549000,,,584000,89915000,421854000,755440000,665525000,1014700000,119227000,263472000,27898000
MGLU3,ON NM,MAGAZ LUIZA ON NM,Comércio,Eletrodomésticos,3.99,2023-02-10,2.13,7.35,623700000,26928200000,31970100000,2022-09-30,6748930000,-7276,249,3136,076,075,356,-605,0.0%,1688,3723,27.9%,-005,160,27.3%,2.4%,-1.0%,2.4%,3.4%,-3.4%,158,066,099,35976400000,,,10805300000,,,-370095000,,,-166760000,2106100000,20722000000,7147960000,5041870000,35531600000,858607000,8807020000,298786000
